event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,prefix,split
PersonX is happy with PersonX's purchase,"[""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""indulgent"", ""pleased"", ""content"", ""simple"", ""satisfied"", ""content""]","[""they use the item he or she purchased almost every day"", ""smiles"", ""tells everyone how great their purchase is"", ""gets complimented on their purchase"", ""none""]","[""it was needed"", ""it is useful"", ""none"", ""to use the purchase"", ""show off"", ""gift it""]","[""to purchase something"", ""to pay bill"", ""to have made a purchase"", ""to evaluate the purchase"", ""visit a store"", ""pay for something""]","[""content"", ""satisfied"", ""joy"", ""happy"", ""relief"", ""determined""]","[""to show with friends"", ""`to use it"", ""make the purchase again"", ""enjoy the purchase"", ""write a review"", ""buy another""]","[""happy"", ""purchase""]",trn
PersonX is happy with PersonY's decision,"[""none"", ""take pride in their decision"", ""have increased confidence in their decisions"", ""smiles"", ""proud""]","[""none"", ""none"", ""happy.""]","[""for personX to do well"", ""to be thanked"", ""to be happy with the decision"", ""to write it in the journal"", ""to be sure they made the right decision."", ""to go home and relax.""]","[""agreeable"", ""passive"", ""content"", ""accepting""]","[""none"", ""shows favor toward PersonY"", ""is easier to get along with"", ""none""]","[""none"", ""none"", ""to support persony.""]","[""to of known about a choice"", ""to ask personY"", ""to think about the problem at hand"", ""to determine the  best way to handle"", ""to meet with personY to discuss something."", ""to ask personY to make a decision about the issue"", ""to figure out their choice"", ""to decide how they feel about it"", ""none""]","[""good re leaved"", ""happy persony made that decision"", ""good.""]","[""to thank personY"", ""to do their best"", ""to jump up and down for joy"", ""to squeal with delight"", ""to celebrate"", ""to go home and tell others about the good decision"", ""to thank personY for making the right decision.""]","[""happy"", ""decision""]",trn
PersonX is happy with the results,"[""whats to see what they did"", ""wants them to keep doing their best"", ""none""]","[""none"", ""none"", ""none""]","[""to congratulate him"", ""to spend the day with him"", ""none"", ""to congratulate personX"", ""to smile""]","[""pleased"", ""satisfied"", ""vindicated"", ""approving"", ""satisfied"", ""pleased""]","[""wants to get it graded"", ""wants to get an A"", ""ponder his happiness"", ""plan ahead to enjoy results""]","[""none"", ""none"", ""good results""]","[""none"", ""to read the paper"", ""to see the final numbers"", ""to make a goal"", ""to start working on goal""]","[""satisfied"", ""happy"", ""intelligent""]","[""to tell it to his friends"", ""to give a treat"", ""to shout for joy"", ""to share the win"", ""to tell mother"", ""to post results on social media""]","[""happy"", ""results""]",trn
PersonX is hard at work,"[""none"", ""none"", ""none""]","[""none"", ""none""]","[""none"", ""none"", ""none""]","[""determined"", ""busy"", ""hardworking"", ""busy"", ""determined"", ""devoted""]","[""sweats"", ""earns money"", ""exhausted"", ""sweaty"", ""gets a lot done"", ""is exhausted""]","[""to be better"", ""to get his work done""]","[""to go to work"", ""to plan out the day"", ""none"", ""to be diligent"", ""to be motivated""]","[""accomplished"", ""proud"", ""good for working hard""]","[""to relax"", ""to reflect on a job well done"", ""to finish their work"", ""to do a good job"", ""to do a good job"", ""to turn in an assignment""]","[""hard"", ""work""]",trn
PersonX is hard to find,"[""none"", ""keep trying to find personX"", ""gives up trying to find personX""]","[""confused"", ""confused"", ""frustrated"", ""confused""]","[""none"", ""none"", ""none""]","[""Hider"", ""Running"", ""obscure"", ""secretive"", ""strong"", ""firm""]","[""PersonX reveals where they have been hiding"", ""PersonX exposes themself"", ""difficult to get a hold of"", ""difficult to talk to""]","[""none"", ""none"", ""none""]","[""get lost"", ""lose his way"", ""none"", ""none""]","[""alone"", ""surprised"", ""safe"", ""clever""]","[""lights a flare"", ""starts to shout"", ""to signal where he is"", ""to talk with his friends""]","[""hard"", ""find""]",tst
PersonX is having PersonX's birthday party,"[""none"", ""see personx throw up"", ""gets invite to the party""]","[""none"", ""none"", ""happy.""]","[""none"", ""to have fun with their friends"", ""to celebrate PersonX's birthday"", ""to get them something good"", ""to have fun""]","[""Outgoing"", ""Fun loving"", ""childish"", ""young"", ""playful"", ""friendly"", ""social""]","[""is surrounded by friends"", ""receives lots of gifts"", ""gets stressed"", ""gets excited"", ""gets to drink too much""]","[""to celebrate the birthday party"", ""none"", ""to have a good time on her birthday.""]","[""to invite all their friends"", ""to order food"", ""to bake a cake"", ""to prepare for the birthday party"", ""to invite people over"", ""to have a birthday"", ""to plan the party""]","[""happy, good and satisfied"", ""excited"", ""happy.""]","[""to have games"", ""to burst fireworks"", ""to cut the cake"", ""to have fun with their friends"", ""to celebrate their birthday"", ""to play games"", ""to get presents""]","[""birthday"", ""party""]",trn
PersonX is having PersonY's birthday party,"[""they are surprised"", ""they get excited"", ""goes to the party"", ""eats cake""]","[""happy"", ""surprised and happy""]","[""thank PersonX"", ""open up gifts"", ""to relax"", ""to thank everyone""]","[""Friendly"", ""Social"", ""friendly"", ""surprising"", ""loving"", ""motherly""]","[""PersonY thanks them"", ""They spend a lot of money"", ""serves cake"", ""cleans up""]","[""to party hard"", ""to give the birthday party to person y""]","[""invite people"", ""set up decorations"", ""to invite people to the party"", ""to buy cake"", ""to buy decorations""]","[""exhausted"", ""happy and satisfied""]","[""hand out gifts"", ""clean up"", ""to clean up"", ""to feel appreciated""]","[""birthday"", ""party""]",trn
PersonX is having a bad day,"[""none"", ""none"", ""none""]","[""none"", ""unsettled"", ""none""]","[""none""]","[""unhappy"", ""miserable"", ""depressed"", ""sad"", ""sad"", ""frustrated""]","[""watches tv"", ""calls a friend"", ""cries"", ""avoids human contact"", ""looks sad"", ""avoids challenges""]","[""none"", ""none"", ""none""]","[""none""]","[""upset mad"", ""perturbed"", ""frustrated""]","[""to take a break"", ""to reconsider their actions""]","[""bad"", ""day""]",trn
PersonX is having a birthday party,"[""none"", ""People bring gifts for PersonX"", ""People sing a song for PersonX""]","[""happy."", ""happy"", ""happy"", ""excited""]","[""to have a good time"", ""to go home"", ""to give PersonX a present"", ""to eat"", ""to socialize"", ""none""]","[""celebratory"", ""generous"", ""self-indulgent"", ""cheery""]","[""eats cakes"", ""drinks wine"", ""have a dance"", ""makes wishes"", ""gets presents"", ""is given cake""]","[""to celebrate with friends."", ""to celebrate a friend's birthday"", ""to celebrate their birthday""]","[""to plan a party"", ""to invite people"", ""to make plans"", ""to invite people"", ""to be a year older"", ""to have a birthday""]","[""excited."", ""happy."", ""excited"", ""happy""]","[""to have a good time"", ""to end the party"", ""to go home"", ""to have cake"", ""to open gifts"", ""to see friends"", ""to see family""]","[""birthday"", ""party""]",trn
PersonX is having a good time,"[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""to share a meal together"", ""to share happiness with others"", ""none"", ""have fun with person x."", ""to do something else that is fun.""]","[""sociable"", ""fun"", ""entertained"", ""merry"", ""happy"", ""exited""]","[""is entertained."", ""is engaged."", ""simles"", ""does not think negative things"", ""call friend."", ""buy an ice cream.""]","[""to enjoy life"", ""to have fun"", ""none"", ""none""]","[""partake in an event or situation that caused the feeling of having a good time"", ""mentally equate said event/situation with the good feeling mentality.""]","[""happy"", ""excited"", ""happy"", ""excited"", ""joyful"", ""enjoyment""]","[""to continue the fun day"", ""to have friends join in"", ""to make a toast"", ""to up the ante"", ""to sleep it off"", ""to keep having fun."", ""to invite someone else to have fun with them.""]","[""good"", ""time""]",trn
PersonX is having a great time,"[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""to get together again"", ""to relax""]","[""engaged"", ""a people pleaser"", ""passionate"", ""active"", ""free spirited"", ""fun""]","[""feels happy"", ""takes pictures"", ""smiles"", ""laughs"", ""sleeps well"", ""sends a thank you note""]","[""none"", ""happiness"", ""to enjoy themselves""]","[""none"", ""none""]","[""good about themselves"", ""enjoyment, happiness."", ""excited"", ""happy"", ""happy"", ""excited"", ""love""]","[""to capture moments"", ""to make a facebook post about it"", ""to rest"", ""to have another great day""]","[""great"", ""time""]",trn
PersonX is having a hard time,"[""none"", ""none"", ""none""]","[""none"", ""none"", ""pity""]","[""none"", ""none""]","[""frustrated"", ""determined"", ""confused"", ""tired"", ""struggling"", ""hurting""]","[""gets stressed"", ""becomes depressed"", ""gets emotional"", ""cries"", ""goes to counselor"", ""to having a hard time"", ""to hard work time""]","[""none"", ""none"", ""none""]","[""to make mistakes"", ""to ruin things"", ""try to do the item they are going to have a hard time with"", ""get resources /problems to have the hard time""]","[""frustrated"", ""sad"", ""angry"", ""sad"", ""angry"", ""depressed""]","[""to try to stay positive"", ""to work on a solution"", ""try a different approach"", ""quit and do something else""]","[""hard"", ""time""]",trn
PersonX is having a lot of fun,"[""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""say goodbye to PersonX"", ""go home""]","[""excited"", ""enthralled"", ""happy"", ""satisfied""]","[""smiles"", ""heart rate increases"", ""sweats"", ""face gets red""]","[""none"", ""none"", ""to have a good time""]","[""travel to the concert"", ""buy tickets"", ""goes out with friends"", ""calls friends to go out""]","[""happy to be alive"", ""excited"", ""joyful"", ""excited"", ""elated""]","[""to take photos"", ""make posts on social media"", ""say goodbye to friends"", ""go home""]","[""lot"", ""fun""]",trn
PersonX is having a party at PersonX's house,"[""none"", ""none"", ""none""]","[""happy."", ""none""]","[""none"", ""to tank person X"", ""to go home"", ""a social event"", ""to be included""]","[""gregarious"", ""celebratory"", ""friendly"", ""social""]","[""socializes"", ""receives feedback"", ""gets police called on"", ""gets into trouble"", ""house is trashed"", ""runs out of beer""]","[""to celebrate her promotion."", ""to have fun"", ""to be helpful"", ""to be important""]","[""pick the music"", ""get refreshments"", ""to make seating arrangements for the guests"", ""to order food from the esaurant"", ""buy food"", ""invite people""]","[""happy."", ""excited"", ""worried""]","[""to be social"", ""to have people like him"", ""to clean up"", ""to take rest"", ""to have a great time"", ""to clean up""]","[""party"", ""house""]",trn
PersonX is having a terrible day,"[""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""to help PersonX"", ""to find out what's going on""]","[""frustrated"", ""annoyed"", ""sad"", ""depressed"", ""resentful"", ""hopeless""]","[""trips"", ""cries"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""go to office"", ""finish the work load"", ""none""]","[""awful"", ""terrible"", ""unhappy"", ""like going home"", ""restarting the day"", ""upset"", ""sad"", ""angry""]","[""to relax"", ""to go home"", ""come home"", ""have rest"", ""to take a break"", ""to assess what's going on""]","[""terrible"", ""day""]",trn
PersonX is having a yard sale,"[""none""]","[""none"", ""happy"", ""like they got a good deal"", ""glad""]","[""none"", ""none"", ""none""]","[""excited"", ""determined"", ""BRAVE"", ""SKILLED"", ""proactive"", ""industrious""]","[""gets fined for not having a permit"", ""gets overwhelmed by number of people that shoved up""]","[""to be a salesman"", ""to get rid of junk"", ""to earn extra money"", ""downsize living space"", ""make money.""]","[""to put on posters to advertise sale"", ""to gather together all items to be sold"", ""to price up the items they are selling prior to sale"", ""Go through all his stuff."", ""Put price tags on his stuff."", ""to gather things to sale"", ""to put up yard sale signs on the road"", ""to have priced everything""]","[""relieved"", ""happy"", ""proud"", ""tired"", ""satisfied"", ""satisfied""]","[""to lodge their sales money in the bank"", ""to go to the charity shop to donate any items that did not sell"", ""to ring a friend to tell them how the sale went"", ""to tidy up after the sale"", ""Give away the leftover stuff."", ""Blow his money on toys."", ""to clean up"", ""to count how much money they made"", ""to give away anything remaining to charity""]","[""yard"", ""sale""]",trn
PersonX is having so much fun,"[""none"", ""none""]","[""none"", ""none""]","[""none"", ""none"", ""none""]","[""enjoying themselves"", ""pleased"", ""Adventurous"", ""Outgoing"", ""gregarious"", ""extroverted""]","[""laugh"", ""store the memories in mind"", ""gets excited and laughs loud"", ""starts to cry""]","[""to enjoy himself"", ""to be content about life""]","[""none"", ""none"", ""none""]","[""satisfied"", ""fantastic""]","[""to keep the party going"", ""to not stop the fun"", ""to go out for drinks"", ""to play a new game"", ""to continue having so much fun"", ""to share the fun""]","[""much"", ""fun""]",trn
PersonX is having trouble sleeping,"[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""restless"", ""insomniac"", ""restless"", ""uncomfortable"", ""restless"", ""deep in thought""]","[""is very tired at work the next day."", ""has a headache the next day."", ""feels sick"", ""feel sad"", ""none""]","[""none"", ""none"", ""none""]","[""a quiet place"", ""to be tired"", ""Get in bed"", ""Attempt to sleep""]","[""tired"", ""tired"", ""exhausted"", ""defeated""]","[""to take a sleeping pill"", ""to read a book"", ""to get a pill"", ""to read books"", ""to go to bed"", ""eat some food""]","[""trouble"", ""sleeping""]",trn
PersonX is having trouble sleeping at night,"[""none"", ""PersonX's employer may have to hire a temp worker to fill their spot if PersonX's is unable to come into work"", ""PersonX's family might suffer from having to do things around the house that PersonX would normally take care of, but presently is unable"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""none"", ""none"", ""none""]","[""troubled"", ""anxious"", ""Troubled"", ""Restless"", ""guilty"", ""active""]","[""tired"", ""bad temper"", ""low productivity"", ""is missing work due to his lack of sleep"", ""is losing money from not being able to go to work due to sleep related chronic fatigue"", ""is subjecting their body to hazardous medications in an attempt to sleep, potentially adding further injury to his physical wellbeing"", ""has a headache."", ""be sleepy.""]","[""none"", ""none"", ""had a nightmare"", ""illness""]","[""take a melatonin pill"", ""work out earlier in the day"", ""Drink too much coffee"", ""Had an energy bar"", ""none"", ""to drink a glass of milk"", ""to take a sleeping pill""]","[""tired"", ""tired"", ""annoyed"", ""sad"", ""worried"", ""tired""]","[""yawn and stretch"", ""eat breakfast"", ""Took a sleeping pill"", ""Lay down"", ""sleep"", ""to be able to get up in the morning"", ""to sleep"", ""to rest"", ""to get rest"", ""to obtain energy""]","[""trouble"", ""sleeping""]",trn
PersonX is heart broken,"[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""disappointed"", ""anxious"", ""despairing"", ""empty""]","[""feels frustated"", ""wants to hate every bad things happen"", ""cries"", ""sad"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none""]","[""empty"", ""scorned"", ""cautious"", ""sad"", ""lonely"", ""depressed"", ""sad""]","[""cry"", ""hide from the world"", ""to drink alcohol"", ""to sleep"", ""to feel better"", ""to find love""]","[""heart"", ""broken""]",trn
PersonX is hesitant at first,"[""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""to convert  him"", ""to coax him"", ""none""]","[""apprehensive"", ""concerned"", ""work"", ""plan"", ""nervous"", ""unsure""]","[""decides to try"", ""hopes they do well"", ""PersonX sweats from nervousness"", ""PersonX looks cautiously and moves cautiously""]","[""none"", ""to make sure something is right"", ""none""]","[""none"", ""none"", ""none""]","[""nervous"", ""scared"", ""cautious"", ""careful""]","[""to take their time"", ""to find out more before proceeding"", ""to accept the duty"", ""to put on his efforts"", ""to be eased"", ""to make a good decision""]","[""hesitant"", ""first""]",trn
PersonX is highschool sweethearts,"[""none"", ""none"", ""none""]","[""reciprocal affection"", ""in love""]","[""to propose"", ""to plan a wedding"", ""none"", ""to continue the relationship"", ""to break up""]","[""loving"", ""content"", ""popular"", ""bold"", ""attractive"", ""charming"", ""loving"", ""hopeful""]","[""none"", ""GET COLLEGE JOINED"", ""ACHIVEMENT"", ""gets married"", ""moves out of state""]","[""none"", ""none""]","[""to meet their love"", ""to start dating"", ""to have known them since highschool"", ""to have loved them and nobody else"", ""to promise to spend their life with them"", ""to ask someone on a date"", ""to become boyfriend/girlfriend""]","[""like they have someone that cares even though they are still young"", ""in love""]","[""to marry"", ""to have kids"", ""to marry them"", ""to break up with them"", ""to be the oldest high school sweethearts"", ""to continue the relationship"", ""to break up"", ""to go to college""]","[""highschool"", ""sweethearts""]",dev
PersonX is hiking in the woods,"[""none"", ""none"", ""none""]","[""none"", ""none""]","[""none"", ""none"", ""none""]","[""active"", ""adventurous"", ""energetic"", ""strong"", ""adventurous"", ""athletic""]","[""legs get tired"", ""bitten by bugs"", ""approached by bear"", ""gets tired from hike"", ""gets tired from hiking"", ""gets sore mussels""]","[""to get fresh air"", ""to experience nature"", ""to explore nature""]","[""to put on hiking boots"", ""to get out of the house"", ""to go to woods"", ""to be equipped for hiking"", ""wear boots"", ""carry backpack""]","[""relieved"", ""refreshed"", ""adventourous"", ""willing to explore""]","[""to enjoy nature"", ""to exercise"", ""to enjoy his holidays"", ""to become an expert in hiking"", ""stop for break"", ""drink water""]","[""hiking"", ""woods""]",trn
PersonX is hiking in the woods one day,"[""none"", ""none""]","[""none"", ""none""]","[""none"", ""none"", ""none""]","[""Adventurous"", ""Brave"", ""outdoorsy"", ""nature-lover"", ""athletic"", ""healthy"", ""adventurous"", ""brave""]","[""rests"", ""camps"", ""Person x gets bit by mosqiitoes"", ""Person x gets excersice"", ""Person x inhales fresh woodsy air""]","[""to get exercise"", ""to go for a walk"", ""to be relaxed"", ""to have fun""]","[""none"", ""to get dressed appropriately for hiking"", ""drive to the woods"", ""wear boot"", ""go to hiking trail""]","[""happy"", ""accomplished"", ""relaxed"", ""happy""]","[""make a fire"", ""set up camp"", ""to have a rest"", ""to eat a meal"", ""take rest"", ""drink water""]","[""hiking"", ""woods""]",trn
PersonX is hiking with friends,"[""gets hurt"", ""gets into trouble""]","[""part of a group"", ""tired"", ""accomplished"", ""happy to be with a friends"", ""good after hiking with personx.""]","[""To have a good time"", ""To enjoy themselves"", ""none"", ""take a rest"", ""drink water""]","[""physical"", ""traveling"", ""adventurous"", ""athletic""]","[""gets lost"", ""gets scared""]","[""to be sociable"", ""to be with friends"", ""to get exercise"", ""to be outdoor with their friends"", ""to spend quality time with friends.""]","[""To make plans"", ""To finalise plans"", ""to ask friends to pick them up"", ""to invest in hiking boots"", ""to carry lots of water"", ""pack gear"", ""find a spot to hike""]","[""accomplished"", ""tired"", ""part of a group"", ""happy to be with friends"", ""refreshed from the hike"", ""happy and joyed.""]","[""To have a good time"", ""To go on adventure"", ""to camp there overnight"", ""to build a fire"", ""take a rest"", ""drink water""]","[""hiking"", ""friends""]",trn
PersonX is hit by a car,"[""none"", ""none"", ""none""]","[""bad upset"", ""worried""]","[""to keep driving"", ""get away"", ""speed off"", ""check if PersonX is okay"", ""to make sure PersonX is okay"", ""to call a lawyer"", ""to go home""]","[""Lost"", ""Ruin"", ""hurt"", ""careless"", ""hurt"", ""sad""]","[""breaks legs"", ""blacks out"", ""dies"", ""screams in pain"", ""falls down"", ""loses consciousness"", ""makes whines"", ""cries out""]","[""none"", ""none""]","[""none"", ""none"", ""none""]","[""hurt"", ""scared"", ""hurt""]","[""to call 911"", ""get help"", ""check license plate number"", ""call 911"", ""to call the police"", ""to call an ambulance"", ""to go to the hospital"", ""to heal""]","[""hit"", ""car""]",trn
PersonX is home alone,"[""none"", ""none""]","[""none"", ""none""]","[""none"", ""none"", ""none""]","[""lonely"", ""independent"", ""scared"", ""bored"", ""lonesome"", ""independent"", ""sleeping"", ""alone""]","[""none"", ""X hears nothing."", ""X gets rest.""]","[""to be alone"", ""none""]","[""none"", ""none"", ""enter home"", ""decide to go home when it is empty""]","[""depressed"", ""lonely"", ""calm"", ""meditative""]","[""to order pizza"", ""to watch a movie"", ""to walk around the house"", ""to find something to do"", ""leave to home"", ""call someone for company""]","[""home"", ""alone""]",trn
PersonX is hot and humid,"[""none"", ""none"", ""none""]","[""none""]","[""none"", ""none""]","[""dissatisfied"", ""irritable"", ""Hot"", ""Humid"", ""Exercising"", ""Intense""]","[""wants to go inside"", ""needs a drink of water"", ""PersonX sweats a lot"", ""PersonX gets lightheaded"", ""be carefull"", ""to be safe""]","[""none""]","[""none"", ""none""]","[""sweaty"", ""tired""]","[""to take off their shirt"", ""to drink water"", ""to swim"", ""to get to the air conditioning"", ""to jump in a pool"", ""to cool down""]","[""hot"", ""humid""]",tst
PersonX is hot outside,"[""none"", ""none""]","[""none""]","[""none"", ""none"", ""none""]","[""Suffering from hyperthermia"", ""Thirsty"", ""sweaty"", ""warm"", ""uncomfortable"", ""overheated"", ""warm""]","[""gets sweaty"", ""gets thirsty"", ""getting fever"", ""glamourous"", ""wearing new dress"", ""taking bath""]","[""none""]","[""none"", ""to be working in the yard"", ""to be fixing their car"", ""to have gone jogging"", ""none""]","[""angry"", ""sticky""]","[""to go inside"", ""to get a drink"", ""to switch on the AC"", ""to drink some cold water"", ""Soak up some air conditioning."", ""Makes himself some ice water.""]","[""hot"", ""outside""]",trn
PersonX is hungry one night,"[""none"", ""none""]","[""none""]","[""none"", ""none"", ""none""]","[""tired"", ""needful"", ""irritated"", ""angry"", ""broke"", ""unemployed""]","[""picks up food"", ""makes dinner"", ""eats"", ""opens fridge""]","[""none""]","[""none"", ""none"", ""drink water"", ""skip dinner""]","[""hungry"", ""anxious""]","[""to cook"", ""to eat"", ""to eat"", ""to clean up after eating"", ""go to kitchen"", ""eat something""]","[""hungry"", ""one""]",trn
PersonX is identical twins,"[""Others get confused to identify them"", ""making mistakes to point out""]","[""surprised""]","[""trade places with their twin"", ""have a normal life"", ""none""]","[""healthy"", ""strong"", ""the same"", ""akin"", ""related"", ""lucky"", ""comparable""]","[""none""]","[""to be exactly same of other""]","[""none"", ""none"", ""none""]","[""surprised""]","[""trade places with their twin"", ""go through life normally"", ""to take care of twin sibling"", ""to go school with sibling""]","[""identical"", ""twins""]",trn
PersonX is impressed by PersonX's work,"[""none"", ""work harder"", ""never miss a day of work""]","[""happy."", ""none"", ""proud of their work""]","[""none"", ""none""]","[""Self aware"", ""Intuitive"", ""proud"", ""boastful"", ""Surprised"", ""Happy""]","[""none"", ""none""]","[""to be proud."", ""none"", ""to be inspired""]","[""to have a positive view of ones abilities"", ""to of done a perceived good job in the first place"", ""none"", ""to be proud"", ""to do good work""]","[""happy."", ""proud"", ""pleased"", ""hopeful for the person""]","[""to compliment themselves"", ""to do better"", ""to take it easy"", ""to be seen as talented"", ""to be recognized for their efforts""]","[""impressed"", ""work""]",trn
PersonX is impressed by PersonY's work,"[""none"", ""none""]","[""thankful for the gratitude."", ""good about themselves"", ""competent"", ""happy""]","[""give PersonX more to read"", ""answer the questions"", ""none""]","[""easily impressed"", ""impressionable"", ""impressed"", ""interested"", ""pleased"", ""proud""]","[""Person X copy the work."", ""Person X took a picture of the work."", ""none""]","[""none"", ""none"", ""to test person y's capacity to work""]","[""read PersonYs findings"", ""study the report"", ""none""]","[""glad to have hired persony"", ""impressed"", ""inspired"", ""admiration for persony"", ""satisfied""]","[""compliment PersonY"", ""ask PersonY questions"", ""to compliment PersonY"", ""to show PersonY's work to others""]","[""impressed"", ""work""]",trn
PersonX is impressed with PersonY's work,"[""smile"", ""receive a reward""]","[""like they did a good job"", ""proud"", ""appreciated""]","[""to thank PersonX"", ""to sigh in relief"", ""to show it off"", ""to explain how they did it""]","[""Shocked"", ""Curious"", ""observant"", ""affirming"", ""thoughtful"", ""generous""]","[""say good job"", ""give a reward""]","[""none"", ""none"", ""none""]","[""to observe PersonY's work"", ""to evaluate PersonY's work"", ""none""]","[""grateful"", ""approving"", ""dazzled"", ""happy""]","[""to give PersonY a good grade"", ""to congratulate PersonY"", ""to give feedback"", ""to give complements"", ""to show other people""]","[""impressed"", ""work""]",trn
PersonX is in PersonX's living room,"[""none""]","[""none""]","[""none"", ""none"", ""none""]","[""lazy"", ""relaxed"", ""staying"", ""relaxing"", ""friendly"", ""curteous""]","[""comes in to watch TV"", ""wants to read the newspaper""]","[""none""]","[""none"", ""none""]","[""safe"", ""comfortable"", ""relaxed""]","[""to sit on the couch"", ""to recline"", ""to watch TV"", ""to relax"", ""to relax on the couch"", ""to watch television"", ""turns on the tv"", ""lays on the couch""]","[""living"", ""room""]",dev
PersonX is in PersonY's living room,"[""Person y offers person x a drink"", ""Person y offers person x a chair"", ""offers a chair"", ""offers a drink"", ""none""]","[""happy"", ""none""]","[""to enjoy the day"", ""to have fun"", ""to talk with PersonX"", ""to tell PersonX to leave""]","[""relaxing"", ""resting"", ""defeated"", ""helpless"", ""content"", ""happy""]","[""Person x takes a seat"", ""Person x converses with person y"", ""sits down"", ""begins to speak"", ""none""]","[""to be entertained"", ""to talk to friends"", ""none""]","[""to visit him"", ""to go to his house"", ""to set an appointment with PersonY"", ""to greet PersonY""]","[""happy"", ""glad that it is over""]","[""to have a drink"", ""to have fun"", ""to spend time with PersonY"", ""to go home""]","[""living"", ""room""]",dev
PersonX is in a bad car accident,"[""none""]","[""guilty for causing the accident."", ""upset"", ""scared"", ""angry""]","[""none"", ""none"", ""none""]","[""rash"", ""reckless"", ""reckless"", ""weak"", ""touchy"", ""distrught"", ""distressed""]","[""Are taken to the hospital"", ""Get a ride in an ambulance.""]","[""none"", ""none""]","[""to be driving fast."", ""to not be paying attention to the road."", ""none"", ""to be driving"", ""to collide""]","[""sad."", ""upset"", ""scared"", ""angry""]","[""to not die."", ""to get out of the car."", ""to recover quickly"", ""to see his family once"", ""to be free of injury"", ""to repair car""]","[""bad"", ""car""]",trn
PersonX is in a bad mood,"[""none"", ""none"", ""none""]","[""none"", ""disconcerted""]","[""none"", ""to comfort him"", ""to cheer him up"", ""none""]","[""unfriendly"", ""unsocial"", ""worried"", ""miserable"", ""emotional"", ""tempermental""]","[""finds something to cheer them up"", ""watches some tv"", ""Drinks antidepressant"", ""drinks"", ""none""]","[""none"", ""none""]","[""wake up on the wrong side of bed"", ""suffer bad quality sleep"", ""drink too much"", ""none"", ""none""]","[""mad"", ""sad"", ""angry"", ""upset""]","[""drink coffee"", ""listen music"", ""go jogging"", ""to stop talking with people at home"", ""to sulk away in his room"", ""to cheer up"", ""to take their mind off it""]","[""bad"", ""mood""]",trn
PersonX is in a car accident,"[""none"", ""none"", ""bleeds"", ""passes out""]","[""scared"", ""scared"", ""hurt"", ""stressed""]","[""to stay where they are"", ""to stay safe"", ""to assess the damage"", ""to get medical help"", ""none""]","[""Luckless"", ""Hapless"", ""wounded"", ""hurt"", ""pained"", ""careless""]","[""gets whiplash"", ""hears sirens"", ""is in pain"", ""fills out a police report"", ""bleeds"", ""passes out""]","[""none"", ""none"", ""none""]","[""to be driving"", ""to not be paying attention"", ""none"", ""none""]","[""scared"", ""scared"", ""hurt"", ""stressed""]","[""to see if everyone is ok"", ""to call the police"", ""to call the police"", ""to call an ambulance"", ""to assess the damage"", ""To get first aid"", ""To go to a hospital""]","[""car"", ""accident""]",trn
PersonX is in a good mood,"[""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""agreeable"", ""comfortable"", ""friendly"", ""outgoing"", ""friendly"", ""talkative""]","[""smiles"", ""get's things done well"", ""makes new friends"", ""becomes more productive""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""sleep well"", ""have a nice breakfast""]","[""happy"", ""grateful to god for the wonderful day"", ""happy and content""]","[""to have fun"", ""laugh"", ""to share joy with others"", ""to remain happy"", ""get things done"", ""get productive""]","[""good"", ""mood""]",tst
PersonX is in a hurry to get to work,"[""none""]","[""none"", ""none"", ""glad""]","[""none"", ""none""]","[""late"", ""hardworking"", ""frustrated"", ""concerned"", ""rushed"", ""hurried"", ""motivated"", ""responsible""]","[""he almost slams the door shut"", ""drives very fast""]","[""to be on time"", ""to be on time"", ""to be early"", ""to be on time""]","[""to have woken up late"", ""to have received a call asking them to come to work"", ""to wake up late"", ""to be stuck in traffic""]","[""determined to get there on time"", ""rushed"", ""satisfied"", ""safe""]","[""to shower"", ""to miss breakfast"", ""to drive faster"", ""to hurry and clock in""]","[""hurry"", ""get""]",trn
